"","X20170803_mel.1_Sample.01_01","X20170803_mel.1_Sample.01_02","X20170803_mel.1_Sample.01_03","X20170803_mel.1_Sample.01_04","X20170803_mel.1_Sample.01_05","X20170803_mel.1_Sample.01_06","X20170803_mel.1_Sample.01_07","X20170803_mel.1_Sample.01_08","X20170803_mel.1_Sample.01_10","X20170803_mel.1_Sample.01_11","X20170803_mel.1_Sample.01_12","X20170810_207383791218_Sample.01_01","X20170810_207383791218_Sample.02_02","X20170810_207383791218_Sample.03_03","X20170810_207383791218_Sample.04_04","X20170810_207383791218_Sample.05_05","X20170810_207383791218_Sample.06_06","X20170810_207383791218_Sample.07_07","X20170810_207383791218_Sample.08_08","X20170810_207383791218_Sample.09_09","X20170810_207383791218_Sample.10_10","X20170810_207383791218_Sample.11_11","X20170810_207383791218_Sample.12_12","X20170810_207383811218_Sample.01_01","X20170810_207383811218_Sample.02_02","X20170810_207383811218_Sample.03_03","X20170810_207383811218_Sample.04_04","X20170810_207383811218_Sample.05_05","X20170810_207383811218_Sample.06_06","X20170810_207383811218_Sample.07_07","X20170810_207383811218_Sample.08_08","X20170810_207383811218_Sample.09_09","X20170810_207383811218_Sample.10_10","X20170810_207383811218_Sample.11_11","X20170810_207383811218_Sample.12_12","X20170810_207383821218_Sample.01_01","X20170810_207383821218_Sample.02_02","X20170810_207383821218_Sample.03_03","X20170810_207383821218_Sample.04_04","X20170810_207383821218_Sample.05_05","X20170810_207383821218_Sample.06_06","X20170810_207383821218_Sample.07_07","X20170810_207383821218_Sample.08_08","X20170810_207383821218_Sample.09_09","X20170810_207383821218_Sample.10_10","X20170810_207383821218_Sample.11_11","X20170810_207383821218_Sample.12_12","X20170815_2.07384E+11_Sample.01_01","X20170815_2.07384E+11_Sample.02_02","X20170815_2.07384E+11_Sample.03_03","X20170815_2.07384E+11_Sample.04_04","X20170815_2.07384E+11_Sample.05_05","X20170815_2.07384E+11_Sample.06_06","X20170815_2.07384E+11_Sample.07_07","X20170815_2.07384E+11_Sample.08_08","X20170815_2.07384E+11_Sample.09_09","X20170815_2.07384E+11_Sample.10_10","X20170815_2.07384E+11_Sample.11_11","X20170815_2.07384E+11_Sample.12_12","X20170815_2.07E+11_Sample.01_01","X20170815_2.07E+11_Sample.02_02","X20170815_2.07E+11_Sample.03_03","X20170815_2.07E+11_Sample.04_04","X20170815_2.07E+11_Sample.05_05","X20170815_2.07E+11_Sample.06_06","X20170815_2.07E+11_Sample.07_07","X20170815_2.07E+11_Sample.08_08","X20170815_2.07E+11_Sample.09_09","X20170815_2.07E+11_Sample.10_10","X20170815_2.07E+11_Sample.11_11","X20170815_2.07E+11_Sample.12_12","X20170824_207384001218_Sample.05_05","X20170824_207384001218_Sample.06_06","X20170824_207384001218_Sample.08_08","X20170824_207384001218_Sample.11_11","X20170824_207384001218_Sample.12_12","X20170925_2.07E+11_Sample.01_01","X20170925_2.07E+11_Sample.02_02","X20170925_2.07E+11_Sample.03_03","X20170925_2.07E+11_Sample.04_04","X20170925_2.07E+11_Sample.06_06"
"TARP",104.553287411298,252.017350210578,30.1632995218534,29.1920072280204,53.9758783876306,135.611295047191,412.909902541871,70.1996516470816,173.307608388503,86.1235722415761,66.0381616036552,842.199390863572,50.7200599055248,76.977102107014,74.3728969614508,172.854606401358,50.0258310189028,53.974285395623,67.2265536002381,39.9944127080637,3084.98253390475,88.8439589364771,77.7658180540679,3210.43137055003,30.494316426952,353.231534128151,51.5642558002593,153.951980927435,33.9756233216659,47.8900722753113,79.0845122422587,148.331490521553,132.958922094389,155.278448465111,43.6787551833561,94.1032518627533,94.5656376861789,21.3877245882796,155.807622457025,55.1480452060586,45.7588995219498,56.0082193459063,77.2116545637167,39.7980601193606,182.804297813724,30.8549470747216,105.679016198479,149.711134448728,11.8735805341961,34.5571807873335,100.277239842472,90.0851243881127,717.368886883786,39.0006946868929,48.5814905797101,112.915828347692,76.9389813415533,4781.22503519153,153.937577689201,4843.27668659341,81.5667809458541,139.58926513992,336.862587087036,86.2164487813635,48.8337297992933,191.719413778724,158.905878249027,363.063828513055,120.510882696527,17.2592071728578,52.130466976154,364.508033685923,172.108658328218,389.97184541224,39.175339353208,185.103260740397,77.3678199341824,241.320351448118,69.9033589401059,597.92584914538,93.7458926513256
"ITGB2",505.963230151105,986.921091733732,221.197529826925,247.321172348506,313.859737291037,372.931061379777,952.445508529916,201.239001388301,1760.44044310427,339.572941981072,294.686420059322,1080.21226219458,126.800149763812,642.901352782654,280.964277409925,586.602334489716,228.242854023744,359.13659128626,227.767577123195,231.078828979924,280.452957627704,1042.74751804392,1503.47248237865,437.786095984095,164.330482967464,0,660.274007198443,543.925932614947,266.142382686383,525.793085189355,429.458933568721,407.537024463256,236.880838214141,710.013668935888,217.393499080521,445.802273976074,247.090859760661,114.067864470825,463.960475760918,190.897079559434,201.339157896579,205.468355240881,259.711928987047,201.64350460476,291.427141442168,141.765973046018,292.626684290437,363.317675188658,40.2382451436647,160.004480905736,525.59105020882,570.539121124714,1642.38016573303,424.19933673141,562.691110670488,733.952884259996,444.226878696027,122.59551372286,808.685408127268,0,459.050255555737,405.259156857833,354.592196933722,475.986644313778,185.568173237314,430.912206207418,653.11076275557,1192.31856523353,1101.65137106543,134.238278011116,139.575121258735,201.107880654302,1104.87611908918,259.981230274827,576.022582341614,1181.99925322463,538.05802045136,679.385957580052,464.039318921554,2194.87066363304,410.675814137688
"HLA-DPA1",2706.56099376034,6748.07296472939,935.062285177455,1964.78426426371,2618.82965510356,2363.22624457238,5159.40754414224,1715.21148857703,8154.57904733272,1988.2241820341,2488.14750816352,4842.64649746554,621.320733842679,3444.01256834344,1528.77621531871,2478.80861094714,475.245394679576,1523.73559539951,2153.25647800166,1860.48082819733,841.358872883113,5704.71736328958,6973.00168551475,1751.14438393638,1423.49163209703,353.231534128151,1995.91399890272,4417.06345278569,1482.18656740768,1646.22123446382,2202.35350548062,3342.70257932913,3566.20281272708,5058.99555762666,1292.02424683592,3453.30418199377,1893.34642335124,658.266634550383,3091.9157078694,990.543735047283,468.571131104766,1368.11088604495,2430.06134635989,994.288201982025,1393.55160362346,1295.90777713831,1856.9738113975,6592.88659366735,159.633693848637,1906.79896179972,4427.75881442364,540.510746328676,13901.0436241051,4603.15048523656,3709.81074767479,6967.4198628178,4960.64952550133,1838.9327058429,3422.88756079587,1320.8936417982,6617.34221696772,2057.81594093366,602.806734787327,4956.54771692026,615.304995471095,2610.12287615891,6326.58283689069,8824.4288124778,5120.57561948264,1256.08674424687,775.230492774419,427.354246390392,7062.60172925436,649.953075687067,3771.7146166172,7406.55008008308,4333.4770960862,11956.8854389485,1543.82311871979,21667.6938666493,2618.43458877946
"CD8A",313.037521237399,808.922823403184,30.1632995218534,58.3840144560409,147.933888914247,701.987880244285,2131.40159216852,128.699361352983,1208.59253218298,282.977451650893,154.089043741862,3313.87151622405,19.0200224645718,118.316656942262,90.9002073973288,665.67412252438,156.330721934071,68.5058237713676,92.3110885257001,133.314709026879,4206.79436441556,135.603937324097,336.985211567627,2334.85917858184,74.9651945495904,529.847301192227,90.5518638443579,352.051956385533,128.824238427983,81.8122068036567,130.1390707784,389.557449854583,247.578682520586,161.205106803474,196.054259906973,70.3398044226641,110.834994707457,21.3877245882796,436.261342879669,178.170607588805,58.5713913880958,114.533662033202,186.711819217715,80.9227222426999,1197.50061756236,55.8724717299013,136.936190003663,313.413963705748,7.25607699311986,67.2208174219364,165.111662154415,960.907993473202,2467.12798428743,147.988937373552,121.720657716197,564.579141738459,101.308794436163,1716.33719212004,303.085986294738,3962.68092539461,643.998189095755,580.871458162894,1826.14981420867,237.09523414875,361.36960051477,375.222281252645,196.921638595684,842.675384077965,342.205431053347,29.9159590996202,102.579305985335,1043.24713089419,368.804267846181,129.990615137413,52.2337858042774,254.063299055447,145.064662376592,626.356963153554,178.476661123675,995.924111050638,212.863380102781
"IRF2",273.207697461667,414.154386709691,331.796294740387,239.212281451834,233.895473013066,284.185434473894,388.528555915589,215.278931717717,328.372310630848,169.786470990536,230.778521733204,366.173648201553,183.860217157528,487.521646677755,206.591380448475,294.22060664061,62.5322887736285,207.593405367781,350.180107559449,173.309121734943,3926.34140678786,444.219794682386,362.907150918983,2334.85917858184,142.730342165039,1766.15767064076,192.422710669261,282.433965010259,154.305955919233,201.537387491935,281.300606836388,301.157874695274,365.254969891481,451.611365383261,140.705608300582,458.15926664492,297.932600452155,201.995176667085,313.923505987487,205.744630191834,137.276698565849,200.748561475777,367.808245376251,142.609715427709,233.141713153734,164.28174523568,278.933065290071,291.493641839424,119.395448704972,209.710014914914,354.42817530529,240.226998368301,620.9865927939,244.689289953383,192.724374717311,296.831760883705,299.400560876633,1716.33719212004,299.665151234978,3082.08516419581,306.349654017568,168.857982024097,106.377659080116,270.3244904499,126.967697478163,346.007894391126,304.126082773257,461.952809041902,284.22377994464,151.497485183974,132.848609390844,289.09257844056,333.460525510922,259.981230274827,278.580190956146,375.045822415184,363.980425599449,340.461514941135,191.86241070795,665.393672703192,249.415677696187
"ITGAL",276.319402444146,801.873387033657,40.2177326958045,87.5760216840613,131.941036058653,319.085400111039,930.423647061016,189.53905944712,606.57662935976,95.966266212042,181.782466349847,1272.4534275004,69.7400823700966,213.825283630594,90.9002073973288,470.752970624976,78.1653609670356,110.024504844924,139.470014185569,96.2828454083015,0,416.163807649814,570.282665729831,291.85739732273,52.517989401973,353.231534128151,93.06719339559,317.525960662836,67.9512466433318,151.651895538486,238.254606501994,425.516599071929,139.071975983786,357.970163637126,81.3558493491519,241.436625991306,195.232284255337,23.7641384314218,316.231767060924,82.7220678090879,51.2499674645838,71.1115593942406,169.865640040177,65.0034981949556,180.154960164249,38.3602044712755,169.086425917567,269.573319973099,11.8735805341961,109.825560858375,303.425096419894,150.141873980188,1762.69631808685,144.783400823945,205.0032129957,516.675456984892,199.832467375799,0,298.296817211074,0,397.400944375731,240.904054354379,106.377659080116,230.808618091775,58.6004757591519,367.918684537266,390.802016363636,1055.28669221499,216.010072757927,41.0385592776841,72.3100025798265,87.9846977862572,438.723410292019,129.990615137413,102.29116386671,574.666985958749,196.936268923373,465.732907571845,92.2129415805652,1785.73092627787,193.942190760311
"CXCR3",120.111812323694,249.373811572006,10.0544331739511,17.8395599726792,23.9892792833914,96.7227619086586,242.240476157898,46.7997677647211,214.354147217359,59.056163822795,19.1723694978354,393.636671816669,12.6800149763812,35.6375472717657,49.5819313076339,139.75478815429,31.2661443868142,24.9112086441337,25.084534925462,20.7378436264034,280.452957627704,60.7879719039054,25.921939351356,1751.14438393638,17.7883512490554,0,46.533596697795,80.3719900429994,28.3130194347216,26.9381656548626,53.0566980865786,161.816171478057,41.263113753431,80.6025534017369,51.0141186492633,49.4279706753856,33.5555488563861,14.2584830588531,87.7139207906213,48.7848092207441,25.6249837322919,25.8015392492377,35.0962066198713,19.8990300596803,140.414895422136,20.8479372126497,59.8351612842094,69.4920842145186,3.29821681505448,19.8822136036713,71.7500940252172,210.198623572263,410.756756691798,60.3709383509438,50.716940715082,152.265283680978,46.6507850668242,490.382054891439,181.988425179233,1320.8936417982,101.484250711702,67.5431928096389,195.025708313547,50.2929284557954,107.434205558445,104.076253194164,88.9568792111778,275.476445758933,89.8147144625063,9.58844842936545,36.9958152733996,188.538638113408,116.019675926611,259.981230274827,39.175339353208,185.103260740397,39.5630897390706,145.253332559536,38.6699432434628,587.403344553795,90.3056764072402
"IFI35",476.713203315801,239.680836563906,130.707631261365,137.85114524343,229.897259799167,336.036811991938,512.00827915192,109.979454247095,424.147567898178,319.88755404014,185.332905145742,485.180083867058,367.720434315055,503.202167477332,330.546208717559,257.443030810534,278.268685042647,151.54318591848,98.3313769078109,333.286772567197,560.905915255408,130.927939485335,285.141332864916,145.928698661365,176.189383800167,1766.15767064076,889.16899636057,397.331950775955,448.761358040337,142.672506986865,197.210745718037,400.045535042975,706.821855961549,214.545031848741,421.78339928966,231.931247015271,256.24237308513,392.108284118459,380.863077117171,263.013754059664,265.401617227309,340.769109840542,356.577459257892,68.9833042068917,238.440388452683,254.344833994327,355.736406639952,201.48040523941,160.293337211648,139.648881263882,395.922205584933,1441.3619902098,359.654734993134,287.964033373086,138.270396265329,230.964194347551,118.36766360239,122.59551372286,316.085159521826,0,330.06092754834,436.779313502331,673.725174174071,499.336932525397,175.801427277456,571.506442978482,271.432528875132,411.095619055638,1406.33926316608,102.788167162798,131.166981423871,741.58530991274,305.031863197779,1169.91553623672,179.916373325844,235.915920551486,177.594313939828,380.425394798785,517.582317258657,422.138125380072,353.052192049258
"PTPRC",247.691716605338,274.046838865349,65.3538156306823,51.896901738703,65.9705180293263,141.594146299273,400.3259817025,74.8796284235537,355.736669850085,46.7527963597127,126.395621133878,448.562719046902,25.3600299527624,125.444166396615,74.3728969614508,193.0822731079,50.0258310189028,41.5186810735561,74.2502233793674,65.1760799686964,1121.81183051082,135.603937324097,181.453575459492,291.85739732273,89.7888205904699,0,76.717551312581,181.685977491569,69.3668976150679,76.8236576083118,121.129442801434,200.771916463516,84.0544909792112,269.070288561681,83.356403021672,132.124767766896,70.1616021542617,28.5169661177061,169.657188897649,55.1480452060586,60.4017473689738,67.0210714644834,49.1346892678198,49.7475751492007,180.154960164249,47.5332968448414,120.861072046712,150.643914102614,13.1928672602179,70.534519689215,196.232184864148,150.141873980188,734.834134806114,96.7003525798303,132.931770926899,310.518527956152,148.655859877119,980.764109782878,347.556842071618,2201.489402997,267.463165427103,121.57774705735,195.025708313547,138.305553253437,29.300237879576,191.719413778724,220.491410010612,548.127492074184,140.974994852542,37.2031799059379,38.6774432403723,150.830910490727,295.043414276945,0,145.819318703608,367.786871013599,145.064662376592,273.598869794681,132.370190333392,1119.71828271635,214.153461194313
"TBX21",51.6543027091534,102.216827358137,35.190516108829,21.0831163313481,33.9848123181378,73.7884987756777,132.131168813399,25.7398722705966,72.9716245846328,34.4494288966304,18.4622817386563,192.241165305815,19.0200224645718,29.9355397082832,16.527310435878,75.3940304516563,25.0129155094514,6.22780216103342,29.0980605135359,25.1816672606327,1963.17070339393,32.7319848713337,51.8438787027119,1313.35828795228,18.6354155942485,0,45.2759319221789,77.541990393598,18.403462632569,16.9610672641727,40.0427910087386,55.4370217100752,24.4522155575887,43.8572717038862,24.3400696823282,22.8129095424857,25.420870345747,26.140552274564,41.5486993218733,25.4529439412578,25.6249837322919,20.7670925664596,15.4423309127434,12.6027190377975,79.4801294842276,17.5122672586258,29.7687369573181,36.8447963285032,5.93679026709806,16.0951252982101,38.0361944230067,30.0283747960376,214.111002307063,18.6989632060445,32.5656145644211,82.1206024346849,17.4070093532926,2084.12373328861,60.2066970517763,2201.489402997,55.9586055326208,45.0287952064259,195.025708313547,27.8407282523153,78.1339676788692,55.6899249547722,45.6189124159886,107.365178859892,30.6961682340211,11.8896760524132,45.4039551082632,125.692425408939,49.1739023794908,0,18.1367311820408,50.8126598110894,22.858674071463,63.0199643909098,22.3095826404593,204.87935410675,31.8220002577894
